n,real,user,sys,mRSS
1.0,0.2445454545454546,0.21363636363636365,0.025454545454545455,39023.63636363636
2.0,0.24000000000000005,0.21545454545454545,0.015454545454545455,39077.818181818184
3.0,0.24000000000000005,0.21363636363636365,0.01909090909090909,39089.454545454544
4.0,0.23727272727272727,0.21,0.019090909090909092,39218.181818181816
5.0,0.2381818181818182,0.21181818181818182,0.021818181818181816,39298.90909090909
10.0,0.24000000000000005,0.2163636363636364,0.017272727272727273,40258.181818181816
20.0,0.25181818181818183,0.22363636363636366,0.022727272727272728,44021.818181818184
30.0,0.27090909090909093,0.23999999999999996,0.026363636363636367,50047.27272727273
40.0,0.31999999999999995,0.2854545454545454,0.030000000000000002,64676.36363636364
50.0,0.35363636363636364,0.31727272727272726,0.03272727272727272,70550.18181818182
60.0,0.43363636363636365,0.39454545454545453,0.0409090909090909,76521.81818181818
70.0,0.49363636363636376,0.4500000000000001,0.046363636363636364,91175.27272727272
80.0,0.5818181818181819,0.5636363636363636,0.04818181818181819,106852.0
90.0,0.6763636363636363,0.6327272727272727,0.06000000000000001,124802.18181818182
100.0,0.7772727272727273,0.7218181818181818,0.07545454545454545,141340.0
200.0,2.387272727272727,2.2772727272727273,0.18363636363636363,402620.0
300.0,4.958181818181818,4.717272727272728,0.3963636363636364,828959.2727272727
400.0,8.700000000000001,8.38,0.6690909090909091,1432848.0
