n,real,user,sys
Command exited with non-zero status 1
1,0.45,0.13,0.07
Command exited with non-zero status 1
2,0.47,0.16,0.02
Command exited with non-zero status 1
3,0.46,0.13,0.03
Command exited with non-zero status 1
4,0.42,0.13,0.06
Command exited with non-zero status 1
5,0.44,0.16,0.01
Command exited with non-zero status 1
10,0.42,0.16,0.02
Command exited with non-zero status 1
20,0.44,0.15,0.03
Command exited with non-zero status 1
30,0.39,0.11,0.07
Command exited with non-zero status 1
40,0.44,0.14,0.03
Command exited with non-zero status 1
50,0.41,0.15,0.03
Command exited with non-zero status 1
60,0.43,0.14,0.04
Command exited with non-zero status 1
70,0.41,0.18,0.01
Command exited with non-zero status 1
80,0.44,0.14,0.05
Command exited with non-zero status 1
90,0.43,0.16,0.01
Command exited with non-zero status 1
100,0.42,0.15,0.02
Command exited with non-zero status 1
200,0.47,0.15,0.04
Command exited with non-zero status 1
300,0.38,0.12,0.05
Command exited with non-zero status 1
400,0.49,0.15,0.03
